     Time-steps        Time         ICFL Max      VCFL Max        Rc Min        
           320  0.000108              0.034490       0.783787       0.000009      **********
           321  0.000108              0.034598       0.785094       0.000009      **********
           322  0.000108              0.034705       0.786167       0.000009      **********
           323  0.000108              0.034813       0.787009       0.000009      **********
           324  0.000108              0.034921       0.787621       0.000009      **********
           325  0.000108              0.035029       0.788007       0.000009      **********
           326  0.000108              0.035136       0.788173       0.000009      **********
           327  0.000108              0.035244       0.788125       0.000009      **********
           328  0.000108              0.035352       0.787873       0.000009      **********
           329  0.000108              0.035460       0.787425       0.000009      **********
           330  0.000108              0.035568       0.786793       0.000009      **********
           331  0.000108              0.035675       0.786427       0.000009      **********
           332  0.000108              0.035783       0.787676       0.000009      **********
           333  0.000108              0.035891       0.788693       0.000009      **********
           334  0.000108              0.035999       0.789480       0.000009      **********
           335  0.000108              0.036107       0.790040       0.000009      **********
           336  0.000108              0.036214       0.790378       0.000009      **********
           337  0.000108              0.036322       0.790501       0.000009      **********
           338  0.000108              0.036430       0.790417       0.000009      **********
           339  0.000108              0.036538       0.790134       0.000009      **********
           340  0.000108              0.036645       0.789665       0.000009      **********
           341  0.000108              0.036753       0.789019       0.000009      **********
           342  0.000108              0.036861       0.788858       0.000009      **********
           343  0.000108              0.036969       0.790037       0.000009      **********
           344  0.000108              0.037077       0.790986       0.000009      **********
           345  0.000108              0.037184       0.791709       0.000009      **********
           346  0.000108              0.037292       0.792211       0.000009      **********
           347  0.000108              0.037400       0.792497       0.000009      **********
           348  0.000108              0.037508       0.792575       0.000009      **********
           349  0.000108              0.037615       0.792454       0.000009      **********
           350  0.000108              0.037723       0.792145       0.000009      **********
           351  0.000108              0.037831       0.791658       0.000009      **********
           352  0.000108              0.037939       0.791006       0.000009      **********
           353  0.000108              0.038047       0.791025       0.000009      **********
           354  0.000108              0.038154       0.792124       0.000009      **********
           355  0.000108              0.038262       0.793000       0.000009      **********
           356  0.000108              0.038370       0.793656       0.000009      **********
           357  0.000108              0.038478       0.794098       0.000009      **********
           358  0.000108              0.038585       0.794334       0.000009      **********
           359  0.000108              0.038693       0.794371       0.000009      **********
           360  0.000108              0.038801       0.794220       0.000009      **********
           361  0.000108              0.038909       0.793891       0.000009      **********
           362  0.000108              0.039017       0.793395       0.000009      **********
           363  0.000108              0.039124       0.792745       0.000009      **********
